speed,heading_error,checkpoint_distance,ray_0_front,ray_1_+45,ray_2_+90,ray_3_+135,ray_4_back,ray_5_-135,ray_6_-90,ray_7_-45,ground_friction,throttle,steering
12.4905,-1.1210,59.2567,50.0000,14.3329,7.2468,50.0000,50.0000,19.3469,19.6211,50.0000,1.0000,1.0000,1.0000
13.2805,-1.0387,59.1264,50.0000,20.0403,7.0407,11.5773,50.0000,22.7645,18.4914,50.0000,1.0000,1.0000,1.0000
13.6986,-0.9621,58.9728,50.0000,50.0000,7.0326,8.4877,50.0000,31.2287,17.7785,50.0000,1.0000,1.0000,1.0000
14.1585,-0.8853,58.7942,50.0000,50.0000,7.3611,7.3709,50.0000,50.0000,17.4448,50.0000,1.0000,1.0000,1.0000
14.7851,-0.7919,58.5862,50.0000,50.0000,7.7211,6.4256,50.0000,50.0000,16.8727,50.0000,1.0000,1.0000,1.0000
14.9564,-0.7114,58.3466,50.0000,50.0000,8.5036,6.0436,50.0000,50.0000,16.6830,50.0000,1.0000,1.0000,1.0000
15.3466,-0.6151,58.0734,50.0000,50.0000,9.9267,5.8155,10.1003,50.0000,16.4706,36.6706,1.0000,1.0000,1.0000
15.5837,-0.5234,57.7656,50.0000,50.0000,12.6506,5.9191,7.4457,50.0000,16.6230,29.7837,0.9000,1.0000,1.0000
15.8256,-0.4277,57.4219,50.0000,50.0000,17.8067,6.0161,6.2185,50.0000,16.5761,25.2472,0.9000,1.0000,1.0000
16.0645,-0.3341,57.0442,50.0000,50.0000,31.3911,6.0458,5.3209,50.0000,16.0267,21.9955,1.0000,1.0000,1.0000
15.7463,-0.2313,56.6350,50.0000,50.0000,50.0000,6.9509,5.3473,10.1614,16.5892,19.8791,1.0000,1.0000,1.0000
15.8978,-0.1298,56.1878,50.0000,50.0000,50.0000,8.0049,5.3220,7.4195,16.2572,18.0966,0.9000,1.0000,1.0000
15.9507,-0.0348,55.7044,50.0000,50.0000,50.0000,9.2434,5.1901,6.0494,13.4301,16.4263,1.0000,1.0000,1.0000
16.0934,0.0689,55.1837,44.0763,50.0000,50.0000,11.2182,5.0190,5.0188,9.2560,14.4903,1.0000,1.0000,1.0000
15.8324,0.1271,54.6287,36.4902,50.0000,50.0000,13.6348,5.1945,4.7531,7.7717,13.4090,1.0000,1.0000,0.0000
15.8473,0.1168,54.0392,36.1890,50.0000,50.0000,14.1376,5.1835,4.5539,6.9776,12.7266,1.0000,1.0000,0.0000
15.9175,0.1076,53.4167,35.7327,50.0000,50.0000,14.8308,5.2148,4.4745,6.4836,12.1470,1.0000,1.0000,0.0000
15.9860,0.1029,52.7649,34.9854,50.0000,50.0000,15.9351,5.4447,4.5030,6.2694,11.7009,1.0000,1.0000,0.0000
16.3616,0.0946,52.0833,34.2872,50.0000,50.0000,16.7607,5.5420,4.4447,5.9526,11.1387,1.0000,1.0000,0.0000
16.7659,0.0865,51.3651,33.1128,50.0000,50.0000,17.2623,5.4439,4.1763,5.3173,10.2471,1.0000,1.0000,0.0000
16.7920,0.0863,50.6214,31.6416,50.0000,50.0000,18.5923,5.6155,4.1563,5.0834,9.6532,1.2000,1.0000,0.0000
16.9928,0.0841,49.8557,30.2753,50.0000,50.0000,19.8881,5.7984,4.1483,4.8936,9.0405,1.2000,1.0000,0.0000
17.2145,0.0810,49.0690,28.9439,50.0000,50.0000,21.1711,6.0042,4.1198,4.6623,8.5069,1.2000,1.0000,1.0000
17.3013,0.2153,48.2686,20.7450,50.0000,50.0000,33.6218,7.3974,4.4255,4.4660,7.1879,1.2000,1.0000,1.0000
17.6169,0.2516,47.4461,18.1421,50.0000,50.0000,38.6148,8.0127,4.4514,4.2170,6.4443,1.2000,1.0000,0.0000
17.5675,0.2598,46.6021,16.6673,50.0000,50.0000,40.6140,8.4627,4.4265,4.0255,5.9371,1.2000,1.0000,0.0000
17.6069,0.2612,45.7498,15.6304,50.0000,50.0000,41.9557,9.0312,4.5386,3.9484,5.6110,1.2000,1.0000,0.0000
17.8254,0.2638,44.8853,14.5119,50.0000,50.0000,43.2211,9.6209,4.6054,3.8560,5.2850,1.2000,1.0000,0.0000
17.9769,0.1821,44.0066,16.0204,50.0000,50.0000,38.4252,9.2134,4.5038,3.8096,5.3524,1.2000,1.0000,-1.0000
18.0269,0.0527,43.1153,20.2231,50.0000,50.0000,30.7117,8.4099,4.3251,3.8234,5.7331,1.2000,1.0000,-1.0000
18.5671,-0.0726,42.2155,26.0846,50.0000,50.0000,25.2321,7.7434,4.1753,3.8481,6.1877,1.0000,1.0000,-1.0000
18.6150,-0.2149,41.2885,34.4548,50.0000,50.0000,20.6798,6.9238,3.9321,3.8365,6.8021,1.0000,1.0000,0.0000
19.1701,-0.1858,40.3606,30.4083,50.0000,50.0000,23.3153,7.6660,4.0395,3.7584,6.2514,1.0000,1.0000,0.0000
19.4161,-0.1906,39.4067,28.4859,50.0000,50.0000,24.5387,7.9691,3.9541,3.5599,5.8185,1.0000,1.0000,0.0000
19.6125,-0.1685,38.4462,25.0667,50.0000,50.0000,27.1573,8.7912,4.0468,3.4756,5.3801,0.9000,1.0000,0.0000
19.6569,-0.1602,37.4801,22.7298,50.0000,50.0000,29.2601,9.5545,4.1217,3.4090,5.0796,0.9000,1.0000,0.0000
19.6730,-0.1139,36.5118,18.4508,50.0000,50.0000,33.3202,10.9880,4.3271,3.3310,4.6446,0.9000,1.0000,1.0000
19.7200,0.0313,35.5447,11.6842,44.7746,50.0000,42.9444,14.6287,5.0621,3.3428,4.0270,0.9000,1.0000,1.0000
19.5877,0.1677,34.5736,8.0837,39.6194,50.0000,49.8131,18.8314,6.0691,3.3890,3.5848,0.8000,1.0000,0.0000
19.0859,0.1772,33.6114,7.5456,37.9550,50.0000,50.0000,20.5034,6.5261,3.4382,3.5228,0.8000,1.0000,0.0000
19.1281,0.1852,32.6666,7.0683,36.3586,50.0000,50.0000,22.1623,6.9557,3.4701,3.4491,0.8000,1.0000,0.0000
18.7702,0.1801,31.7178,6.5773,35.0042,50.0000,50.0000,23.3238,7.0404,3.3546,3.2768,0.8000,1.0000,0.0000
18.6122,0.2156,30.7922,5.9800,32.5625,50.0000,50.0000,25.8509,7.9476,3.4543,3.2076,0.7000,1.0000,0.0000
18.0043,0.2349,29.8777,5.6506,30.7660,50.0000,50.0000,28.0066,8.8269,3.5562,3.1886,0.7000,1.0000,0.0000
17.9052,0.1682,28.9822,5.8529,31.8156,50.0000,50.0000,27.4069,8.0265,3.3616,3.1162,0.7000,1.0000,-1.0000
17.3840,0.0966,28.1026,6.3304,33.0436,50.0000,50.0000,26.8372,7.3618,3.2661,3.1496,0.8000,1.0000,-1.0000
17.0507,0.0027,27.2347,7.2907,34.8444,50.0000,50.0000,25.7842,6.5669,3.1958,3.2590,0.8000,1.0000,0.0000
17.2741,0.0149,26.3789,6.8908,33.6140,50.0000,50.0000,27.5580,7.0042,3.2403,3.2177,0.8000,1.0000,0.0000
17.0493,0.0110,25.5122,6.5306,32.7080,50.0000,50.0000,28.7621,7.0259,3.1491,3.0958,0.8000,1.0000,0.0000
17.0100,0.0390,24.6602,6.0236,31.0534,50.0000,50.0000,30.9899,7.7305,3.2032,3.0347,0.8000,1.0000,0.0000
13.3778,0.2240,23.9753,4.6652,23.9186,50.0000,50.0000,38.0277,13.0239,3.7363,2.9971,0.8000,1.0000,0.0000
13.5936,0.2125,23.3559,4.4400,22.8531,49.0812,50.0000,38.8358,13.1394,3.6192,2.8774,0.8000,1.0000,0.0000
13.2314,0.2314,22.7309,4.2610,20.9316,47.0070,50.0000,40.8993,14.8269,3.7342,2.8702,0.8000,1.0000,0.0000
13.1524,0.2371,22.1066,4.1638,19.7142,45.6126,50.0000,42.5326,16.1298,3.8329,2.8779,0.8000,1.0000,0.0000
13.1228,0.2406,21.4766,4.0718,18.5751,44.3581,50.0000,44.0891,17.4073,3.9035,2.8744,0.8000,1.0000,0.0000
13.0268,0.2532,20.8443,4.0221,17.3976,42.8677,50.0000,46.0713,19.3087,4.0673,2.9138,0.8000,1.0000,0.0000
13.0590,0.2451,20.2048,3.9361,16.8741,42.2077,50.0000,47.1454,20.0063,4.0500,2.8763,0.8000,1.0000,0.0000
13.1851,0.2591,19.5612,3.8303,15.6548,40.7395,50.0000,49.1841,21.9694,4.1524,2.8715,0.9000,1.0000,-1.0000
13.2366,0.1783,18.9064,4.1126,18.2347,43.4559,50.0000,47.3568,18.8780,3.9340,2.8931,0.9000,1.0000,-1.0000
13.9351,0.0901,18.2390,4.3895,20.6253,46.9110,50.0000,45.4190,14.9494,3.6385,2.8664,1.0000,1.0000,-1.0000
13.3571,0.0317,17.5595,5.0704,22.6038,49.7073,50.0000,45.0907,13.9143,3.8426,3.1492,1.0000,1.0000,-1.0000
14.1561,-0.0402,16.8827,5.9357,24.6182,50.0000,50.0000,44.4626,12.4449,3.9823,3.4469,1.0000,1.0000,0.0000
14.9204,-0.0468,16.1659,5.9970,24.4164,50.0000,50.0000,45.7207,12.8478,4.0487,3.4888,1.0000,1.0000,0.0000
15.6490,-0.0540,15.4114,5.7067,23.7735,50.0000,50.0000,46.8033,12.6457,3.8874,3.3404,1.0000,1.0000,0.0000
16.3432,-0.0619,14.6210,5.0765,22.6924,50.0000,50.0000,47.7154,11.7892,3.5035,2.9817,1.0000,1.0000,0.0000
15.9284,-0.0166,13.8153,4.5727,20.7843,47.6904,50.0000,50.0000,14.1329,3.5270,2.8643,1.2000,1.0000,0.0000
15.7507,-0.0042,13.0232,4.6515,20.2918,45.9965,50.0000,50.0000,16.2537,3.7604,2.9890,1.2000,1.0000,0.0000
16.3432,0.0072,12.2321,4.7771,20.0083,44.3116,50.0000,50.0000,18.7644,3.9994,3.1258,1.2000,1.0000,0.0000
16.9123,-0.0044,11.4116,4.6797,19.7065,43.6184,50.0000,50.0000,18.8750,3.9158,3.0628,1.2000,1.0000,0.0000
16.9231,0.0051,10.5713,4.4767,18.9170,41.6413,50.0000,50.0000,21.0638,3.9269,2.9978,1.2000,1.0000,0.0000
17.0519,0.0019,9.7303,4.5069,18.7464,40.4492,50.0000,50.0000,22.8755,4.0013,3.0384,1.2000,1.0000,0.0000
17.2542,-0.0040,8.8800,4.5402,18.7149,39.3117,50.0000,50.0000,24.8342,4.0722,3.0771,1.2000,1.0000,0.0000
17.5125,-0.0158,8.0210,4.5944,18.8301,38.3532,50.0000,50.0000,26.5154,4.1271,3.1124,1.2000,1.0000,0.0000
