feature,min,max,mean,std,p5,p25,p50,p75,p95
speed,0.2862,24.7934,16.7889,3.4845,10.6708,14.6073,17.0533,19.0780,22.1656
heading_error,-2.8608,2.8385,0.0735,0.4979,-0.7011,-0.1605,0.0478,0.2824,0.8646
checkpoint_distance,8.0049,59.2567,25.6824,10.4355,9.6127,16.7968,25.6713,34.0989,42.3959
ray_0_front,2.9078,50.0000,25.1398,19.9571,3.5512,5.6276,16.6100,50.0000,50.0000
ray_1_+45,3.0254,50.0000,29.8820,18.9204,3.6658,8.1110,33.0160,50.0000,50.0000
ray_2_+90,2.9298,50.0000,31.1496,19.1862,3.6701,7.7144,36.5920,50.0000,50.0000
ray_3_+135,2.6480,50.0000,29.3688,19.0010,3.8323,7.4876,29.5768,50.0000,50.0000
ray_4_back,2.5488,50.0000,28.2836,18.4421,3.6973,7.4211,29.3227,50.0000,50.0000
ray_5_-135,2.8051,50.0000,29.9611,20.2830,4.0289,7.3450,35.9620,50.0000,50.0000
ray_6_-90,2.7530,50.0000,29.2397,20.3958,3.4156,6.1352,32.8606,50.0000,50.0000
ray_7_-45,2.7741,50.0000,26.6109,20.3916,3.1086,4.8296,24.3827,50.0000,50.0000
ground_friction,0.4000,1.2000,0.8863,0.1741,0.7000,0.8000,0.9000,1.0000,1.2000
throttle,0.0000,1.0000,0.9974,0.0506,1.0000,1.0000,1.0000,1.0000,1.0000
steering,-1.0000,1.0000,0.0704,0.5968,-1.0000,0.0000,0.0000,0.0000,1.0000
